file: votematrix-2015.csv covering commons parliament 2015
file created: Mon Apr 17 08:48:58 2017by http://www.publicwhip.org.uk/
654 mps
462 divisions



Data Values
      missing: -9
      tellaye: 1
      aye: 2
      both: 3
      no: 4
      tellno: 5



Variables match to MP names as mpidXXX where XXX is the mpid number below

mpid	firstname	surname	party	PublicWhip URL
40845	Dawn	Butler	Lab	http://publicwhip.com/mp.php?mpid=40845
41001	Liam	Byrne	Lab	http://publicwhip.com/mp.php?mpid=41001
40961	Ruth	Cadbury	Lab	http://publicwhip.com/mp.php?mpid=40961
41053	Alun	Cairns	Con	http://publicwhip.com/mp.php?mpid=41053
41085	David	Cameron	Con	http://publicwhip.com/mp.php?mpid=41085
40752	Lisa	Cameron	SNP	http://publicwhip.com/mp.php?mpid=40752
40998	Alan	Campbell	Lab	http://publicwhip.com/mp.php?mpid=40998
41211	Gregory	Campbell	DUP	http://publicwhip.com/mp.php?mpid=41211
41350	Ronnie	Campbell	Lab	http://publicwhip.com/mp.php?mpid=41350
40868	Alistair	Carmichael	LDem	http://publicwhip.com/mp.php?mpid=40868
40872	Neil	Carmichael	Con	http://publicwhip.com/mp.php?mpid=40872
40894	Douglas	Carswell	UKIP	http://publicwhip.com/mp.php?mpid=40894
41251	James	Cartlidge	Con	http://publicwhip.com/mp.php?mpid=41251
41307	Bill	Cash	Con	http://publicwhip.com/mp.php?mpid=41307
41153	Maria	Caulfield	Con	http://publicwhip.com/mp.php?mpid=41153
40936	Alex	Chalk	Con	http://publicwhip.com/mp.php?mpid=40936
40850	Sarah	Champion	Lab	http://publicwhip.com/mp.php?mpid=40850
40820	Douglas	Chapman	SNP	http://publicwhip.com/mp.php?mpid=40820
40738	Jenny	Chapman	Lab	http://publicwhip.com/mp.php?mpid=40738
41212	Joanna	Cherry	SNP	http://publicwhip.com/mp.php?mpid=41212
41329	Rehman	Chishti	Con	http://publicwhip.com/mp.php?mpid=41329
41075	Christopher	Chope	Con	http://publicwhip.com/mp.php?mpid=41075
41227	Jo	Churchill	Con	http://publicwhip.com/mp.php?mpid=41227
40986	Greg	Clark	Con	http://publicwhip.com/mp.php?mpid=40986
41204	Kenneth	Clarke	Con	http://publicwhip.com/mp.php?mpid=41204
40953	Nick	Clegg	LDem	http://publicwhip.com/mp.php?mpid=40953
41074	James	Cleverly	Con	http://publicwhip.com/mp.php?mpid=41074
41348	Geoffrey	Clifton-Brown	Con	http://publicwhip.com/mp.php?mpid=41348
40848	Ann	Clwyd	Lab	http://publicwhip.com/mp.php?mpid=40848
41301	Vernon	Coaker	Lab	http://publicwhip.com/mp.php?mpid=41301
41096	Ann	Coffey	Lab	http://publicwhip.com/mp.php?mpid=41096
41205	Therese	Coffey	Con	http://publicwhip.com/mp.php?mpid=41205
41004	Damian	Collins	Con	http://publicwhip.com/mp.php?mpid=41004
41278	Oliver	Colvile	Con	http://publicwhip.com/mp.php?mpid=41278
40767	Julie	Cooper	Lab	http://publicwhip.com/mp.php?mpid=40767
40900	Rosie	Cooper	Lab	http://publicwhip.com/mp.php?mpid=40900
41024	Yvette	Cooper	Lab	http://publicwhip.com/mp.php?mpid=41024
40733	Jeremy	Corbyn	Lab	http://publicwhip.com/mp.php?mpid=40733
41250	Alberto	Costa	Con	http://publicwhip.com/mp.php?mpid=41250
41366	Robert	Courts	Con	http://publicwhip.com/mp.php?mpid=41366
40777	Ronnie	Cowan	SNP	http://publicwhip.com/mp.php?mpid=40777
41343	Geoffrey	Cox	Con	http://publicwhip.com/mp.php?mpid=41343
41148	Jo	Cox	Lab	http://publicwhip.com/mp.php?mpid=41148
40887	Neil	Coyle	Lab	http://publicwhip.com/mp.php?mpid=40887
41259	Stephen	Crabb	Con	http://publicwhip.com/mp.php?mpid=41259
40862	David	Crausby	Lab	http://publicwhip.com/mp.php?mpid=40862
40796	Angela	Crawley	SNP	http://publicwhip.com/mp.php?mpid=40796
41136	Mary	Creagh	Lab	http://publicwhip.com/mp.php?mpid=41136
41168	Stella	Creasy	Lab	http://publicwhip.com/mp.php?mpid=41168
41320	Tracey	Crouch	Con	http://publicwhip.com/mp.php?mpid=41320
41208	Jon	Cruddas	Lab	http://publicwhip.com/mp.php?mpid=41208
41154	John	Cryer	Lab	http://publicwhip.com/mp.php?mpid=41154
41144	Judith	Cummins	Lab	http://publicwhip.com/mp.php?mpid=41144
40851	Alex	Cunningham	Lab	http://publicwhip.com/mp.php?mpid=40851
40810	Jim	Cunningham	Lab	http://publicwhip.com/mp.php?mpid=40810
40952	Nicholas	Dakin	Lab	http://publicwhip.com/mp.php?mpid=40952
40881	Simon	Danczuk	Lab	http://publicwhip.com/mp.php?mpid=40881
40776	Wayne	David	Lab	http://publicwhip.com/mp.php?mpid=40776
41005	Byron	Davies	Con	http://publicwhip.com/mp.php?mpid=41005
40766	Chris	Davies	Con	http://publicwhip.com/mp.php?mpid=40766
41248	David	Davies	Con	http://publicwhip.com/mp.php?mpid=41248
40899	Geraint	Davies	Lab	http://publicwhip.com/mp.php?mpid=40899
40764	Glyn	Davies	Con	http://publicwhip.com/mp.php?mpid=40764
40784	James	Davies	Con	http://publicwhip.com/mp.php?mpid=40784
40892	Mims	Davies	Con	http://publicwhip.com/mp.php?mpid=40892
41236	Philip	Davies	Con	http://publicwhip.com/mp.php?mpid=41236
40957	David	Davis	Con	http://publicwhip.com/mp.php?mpid=40957
40826	Martyn	Day	SNP	http://publicwhip.com/mp.php?mpid=40826
41070	Gloria	De Piero	Lab	http://publicwhip.com/mp.php?mpid=41070
41195	Thangam	Debbonaire	Lab	http://publicwhip.com/mp.php?mpid=41195
40770	Caroline	Dinenage	Con	http://publicwhip.com/mp.php?mpid=40770
40906	Jonathan	Djanogly	Con	http://publicwhip.com/mp.php?mpid=40906
40747	Martin	Docherty	SNP	http://publicwhip.com/mp.php?mpid=40747
40818	Nigel	Dodds	DUP	http://publicwhip.com/mp.php?mpid=40818
40715	Jeffrey M.	Donaldson	DUP	http://publicwhip.com/mp.php?mpid=40715
41292	Stuart	Donaldson	SNP	http://publicwhip.com/mp.php?mpid=41292
40855	Michelle	Donelan	Con	http://publicwhip.com/mp.php?mpid=40855
41296	Nadine	Dorries	Con	http://publicwhip.com/mp.php?mpid=41296
41237	Steve	Double	Con	http://publicwhip.com/mp.php?mpid=41237
41197	Stephen	Doughty	Lab	http://publicwhip.com/mp.php?mpid=41197
41043	Jim	Dowd	Lab	http://publicwhip.com/mp.php?mpid=41043
40830	Peter	Dowd	Lab	http://publicwhip.com/mp.php?mpid=40830
40877	Oliver	Dowden	Con	http://publicwhip.com/mp.php?mpid=40877
40895	Jackie	Doyle-Price	Con	http://publicwhip.com/mp.php?mpid=40895
41193	Richard	Drax	Con	http://publicwhip.com/mp.php?mpid=41193
40947	Jack	Dromey	Lab	http://publicwhip.com/mp.php?mpid=40947
41132	Flick	Drummond	Con	http://publicwhip.com/mp.php?mpid=41132
40808	James	Duddridge	Con	http://publicwhip.com/mp.php?mpid=40808
40874	Michael	Dugher	Lab	http://publicwhip.com/mp.php?mpid=40874
41134	Alan	Duncan	Con	http://publicwhip.com/mp.php?mpid=41134
41139	Iain	Duncan Smith	Con	http://publicwhip.com/mp.php?mpid=41139
41234	Philip	Dunne	Con	http://publicwhip.com/mp.php?mpid=41234
40717	Mark	Durkan	SDLP	http://publicwhip.com/mp.php?mpid=40717
40852	Angela	Eagle	Lab	http://publicwhip.com/mp.php?mpid=40852
40875	Maria	Eagle	Lab	http://publicwhip.com/mp.php?mpid=40875
40762	Jonathan	Edwards	PC	http://publicwhip.com/mp.php?mpid=40762
41041	Clive	Efford	Lab	http://publicwhip.com/mp.php?mpid=41041
40707	Julie	Elliott	Lab	http://publicwhip.com/mp.php?mpid=40707
41032	Tom	Elliott	UUP	http://publicwhip.com/mp.php?mpid=41032
